"country","vaccine","birth_cohort","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"All","OPV-D2",2020,2,"(0, 4)",4,"(8.44)","(-6, 100)",-3,-1,-1,0,2,4,7,15,48.7
"All","OPV-D2",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","OPV-D2",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","OPV-D3",2006,2,"(0, 6)",5.8,"(16.22)","(-8, 153)",-4.9,-2,0,0,2,6,9,19.6,51.4
"All","OPV-D3",2007,3,"(1, 7)",6.8,"(15.31)","(-23, 206)",-4,-1,0,1,3,7,11,24,70.4
"All","OPV-D3",2008,3,"(1, 8)",6.2,"(17.75)","(-60, 198)",-50,-2,0,1,3,8,14,31,75
"All","OPV-D3",2009,3,"(1, 8)",5,"(19.1)","(-59, 214)",-51,-39,0,1,3,8,14,32,72
"All","OPV-D3",2010,3,"(1, 9)",6.4,"(21.5)","(-68, 202)",-51,-32.9,-1,1,3,9,16,40,90.6
"All","OPV-D3",2011,3,"(1, 8)",6.3,"(17.64)","(-57, 223)",-49,-2,0,1,3,8,13,34,74
"All","OPV-D3",2012,3,"(1, 8)",7.3,"(13.59)","(-23, 145)",-8.6,-1,0,1,3,8,13,33,67.6
"All","OPV-D3",2013,4,"(1, 9)",8.2,"(13.66)","(-24, 127)",-5,-1,0,1,4,9,15,31,65.5
"All","OPV-D3",2014,4,"(2, 9)",8.5,"(14.51)","(-22, 133)",-6,-1,1,2,4,9,15,34,75
"All","OPV-D3",2015,4,"(2, 9)",7.7,"(12.96)","(-23, 132)",-13,-1,0,2,4,9,14,29,62.6
"All","OPV-D3",2016,5,"(2, 10)",8.6,"(13.13)","(-16, 128)",-4,-1,1,2,5,10,16,32,64
"All","OPV-D3",2017,5,"(2, 10)",8.8,"(13.01)","(-16, 131)",-3,-1,1,2,5,10,15,31,64
"All","OPV-D3",2018,5,"(2, 10)",8.8,"(12.34)","(-17, 121)",-3,-1,1,2,5,10,15,32,60
"All","OPV-D3",2019,3,"(1, 7)",6.4,"(10.45)","(-9, 132)",-3,-1,0,1,3,7,11,25,55
"All","OPV-D3",2020,2,"(0, 6)",5.1,"(9.25)","(-6, 99)",-2.1,-1,0,0,2,6,9,21,51.1
"All","OPV-D3",2021,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","OPV-D3",2022,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","IPV-D1",2006,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","IPV-D1",2007,NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"All","IPV-D1",2008,3,"(1.5, 8)",6.1,"(8.41)","(-6, 46)",-2.7,-1,0,1.5,3,8,12,24.6,32.9
