"Vaccine","Characteristic","Levels","Date Available (n)","Date Not Available (n)","Date Available (%)","Date Not Availanle (%)","Chi2","Flag 5%","Flag 10%","Flag 20%"
"","","Other","428","253","0.15","0.21","","","",""
"OPV-D1","Urban/Rural","Urban","89956","38940","30.79","31.84","2.80027144898276e-11","","",""
"","","Rural","202197","83356","69.21","68.16","","","",""
"OPV-D1","Residence","City","902","316","16.16","19.19","0.000547724817334687","","",""
"","","Town","1591","504","28.5","30.6","","","",""
"","","Countryside","3089","827","55.34","50.21","","*","",""
"OPV-D1","Wealth Quintile","Poorest","70250","32490","24.05","26.57","2.21478229665556e-66","","",""
"","","Poor","64348","26486","22.03","21.66","","","",""
"","","Middle","59096","23324","20.23","19.07","","","",""
"","","Rich","53080","21373","18.17","17.48","","","",""
"","","Richest","45379","18623","15.53","15.23","","","",""
"OPV-D1","Mother's Education","None","62926","35854","21.93","30.56","0","*","",""
"","","Primary","72812","33059","25.38","28.17","","","",""
"","","Secondary","119241","38783","41.56","33.05","","*","",""
"","","Higher","31949","9642","11.13","8.22","","","",""
"OPV-D1","Mother's Marital Status","Not married","11414","5005","3.91","4.09","7.98932068144989e-249","","",""
"","","Married/Living together","269392","109619","92.21","89.63","","","",""
"","","Widowed/Divorced/Not living together","11347","7672","3.88","6.27","","","",""
"OPV-D1","Husband's Education","None","38906","24837","21.48","26.68","1.0536638124091e-239","*","",""
"","","Primary","51126","22811","28.22","24.51","","","",""
"","","Secondary","70268","35788","38.79","38.45","","","",""
"","","Higher","20863","9648","11.52","10.36","","","",""
"OPV-D1","Husband's Occupation","No work","7048","3316","3.93","3.47","0","","",""
"","","Prof/Manager/Clerical/Sales","39354","23062","21.96","24.14","","","",""
"","","Agricultural","58693","36761","32.75","38.49","","*","",""
"","","Household/Services","25840","9887","14.42","10.35","","","",""
"","","Manual work","48257","22491","26.93","23.55","","","",""
"OPV-D2","Sex at birth","Male","139910","52037","51.19","50.73","0.0114087919081498","","",""
"","","Female","133392","50542","48.81","49.27","","","",""
"OPV-D2","Health Card","No card","24","17575","0.01","17.15","0","*","**",""
"","","Yes - Seen","272808","11144","99.82","10.87","","*","**","***"
"","","Yes - Not Seen","41","46609","0.02","45.48","","*","**","***"
"","","Lost","29","26932","0.01","26.28","","*","**","***"
"","","Other","400","216","0.15","0.21","","","",""
"OPV-D2","Urban/Rural","Urban","84469","32931","30.91","32.1","1.85107834685204e-12","","",""
"","","Rural","188833","69648","69.09","67.9","","","",""
"OPV-D2","Residence","City","839","272","15.95","19.48","0.000274796566770015","","",""
"","","Town","1514","431","28.78","30.87","","","",""
"","","Countryside","2908","693","55.27","49.64","","*","",""
"OPV-D2","Wealth Quintile","Poorest","65003","26829","23.78","26.15","4.51339552664395e-56","","",""
"","","Poor","60004","21988","21.96","21.44","","","",""
"","","Middle","55376","19388","20.26","18.9","","","",""
"","","Rich","50008","18171","18.3","17.71","","","",""
"","","Richest","42911","16203","15.7","15.8","","","",""
"OPV-D2","Mother's Education","None","57703","29701","21.48","30.27","0","*","",""
"","","Primary","68579","27069","25.53","27.59","","","",""
"","","Secondary","112064","32958","41.72","33.59","","*","",""
"","","Higher","30261","8396","11.27","8.56","","","",""
"OPV-D2","Mother's Marital Status","Not married","10628","4052","3.89","3.95","6.08858389506177e-178","","",""
"","","Married/Living together","251821","92220","92.14","89.9","","","",""
"","","Widowed/Divorced/Not living together","10853","6307","3.97","6.15","","","",""
