"country","vaccine","median","iqr","mean","sd","range","quan_01","quan_05","quan_15","quan_25","quan_50","quan_75","quan_85","quan_95","quan_99"
"Haiti","HepB-D3",9,"(4, 20)",14.2,"(16)","(-5, 132)",-1,1,3,4,9,20,27,44,75
"Haiti","Hib-D1",3,"(1, 8)",7.2,"(12.94)","(-7, 126)",-3.9,-1,0,1,3,8,13,30,67
"Haiti","Hib-D2",6,"(3, 13)",10.6,"(14)","(-5, 132)",-3,0,1,3,6,13,20,38,69
"Haiti","Hib-D3",9,"(4, 20)",14.2,"(16)","(-5, 132)",-1,1,3,4,9,20,27,44,75
"Haiti","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haiti","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haiti","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haiti","RV-D1",3,"(1, 8)",7.6,"(13.28)","(-8, 140)",-2.6,-1,0,1,3,8,13,30,70
"Haiti","RV-D2",6,"(3, 13)",10.2,"(13.32)","(-5, 112)",-1,0,2,3,6,13,18,35,66.4
"Haiti","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","BCG",1,"(0, 3)",3,"(9.01)","(-2, 206)",-2,-2,-1,0,1,3,6,12,44.8
"Honduras","DTP-D1",1,"(-1, 2)",1.4,"(6.23)","(-10, 157)",-2,-2,-1,-1,1,2,3,6,16
"Honduras","DTP-D2",2,"(0, 4)",3.4,"(7.97)","(-9, 200)",-2,-1,0,0,2,4,6,12,33
"Honduras","DTP-D3",2,"(1, 5)",4.7,"(10.59)","(-23, 223)",-2,-1,0,1,2,5,8,18,51
"Honduras","OPV-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","OPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","OPV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","OPV-D3",2,"(1, 5)",4.6,"(10.02)","(-23, 193)",-2,-1,0,1,2,5,8,18,47
"Honduras","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","MCV-D1",2,"(0, 3)",2.9,"(10.72)","(-54, 165)",-30.3,-1,0,0,2,3,5,13,46.3
"Honduras","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","HepB-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","HepB-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","HepB-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","Hib-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","Hib-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","Hib-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","PCV-D1",21,"(7, 45)",33.5,"(39.07)","(-11, 236)",-2,-1,2,7,21,45,46,127,189.5
"Honduras","PCV-D2",11,"(3, 20)",13.2,"(14.35)","(-2, 129)",-1,0,2,3,11,20,23,31.8,72.6
"Honduras","PCV-D3",12,"(4, 21)",13.9,"(12.59)","(-21, 120)",-1,0,2,4,12,21,25,29,53
"Honduras","RV-D1",1,"(-1, 2)",1.5,"(7.27)","(-11, 166)",-2,-2,-1,-1,1,2,3,6,23
"Honduras","RV-D2",2,"(0, 3)",3.2,"(8.37)","(-9, 197)",-1,-1,0,0,2,3,5,10,40.4
"Honduras","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"India","BCG",1,"(0, 2)",2.6,"(7.75)","(-2, 150)",-2,-2,-1,0,1,2,5,12,45
"India","DTP-D1",2,"(1, 6)",7.9,"(17.95)","(-8, 138)",-7,-3,-1,1,2,6,10,62,81
"India","DTP-D2",4,"(2, 7)",6.6,"(10.47)","(-12, 129)",-3,-1,1,2,4,7,11,23,57
"India","DTP-D3",5,"(3, 11)",8.9,"(11.48)","(-16, 136)",-3,0,2,3,5,11,16,30,58
"India","OPV-BD",1,"(-1, 2)",1.7,"(6.76)","(-2, 150)",-2,-2,-1,-1,1,2,2,8,39
"India","OPV-D1",2,"(1, 4)",4,"(8.23)","(-8, 135)",-6,-2,0,1,2,4,7,15,47
"India","OPV-D2",4,"(2, 7)",6.3,"(9.51)","(-12, 129)",-3,-1,1,2,4,7,11,22,53
"India","OPV-D3",5,"(3, 11)",8.9,"(11.54)","(-16, 131)",-3,0,2,3,5,11,16,30,58
"India","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"India","MCV-D1",3,"(1, 7)",5.6,"(11.95)","(-41, 114)",-31,-4,0,1,3,7,12,27,54
"India","MCV-D2",6,"(1, 12)",5.4,"(16.67)","(-71, 85)",-52,-29,-1,1,6,12,16,28,51
"India","HepB-BD",0,"(-1, 2)",2.5,"(9.91)","(-2, 141)",-2,-2,-1,-1,0,2,2,12,53
"India","HepB-D1",2,"(1, 5)",4.5,"(9.66)","(-8, 133)",-6,-2,0,1,2,5,7,17,54
"India","HepB-D2",4,"(2, 7)",6.5,"(10.18)","(-12, 132)",-4,-1,1,2,4,7,11,23,56
"India","HepB-D3",5,"(3, 11)",8.9,"(11.39)","(-16, 132)",-3,0,2,3,5,11,16,30,58
"India","Hib-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"India","Hib-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"India","Hib-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"India","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"India","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"India","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"India","RV-D1",3,"(1, 5)",5.8,"(11.76)","(-8, 136)",-4,-1,0,1,3,5,8,32,58
"India","RV-D2",4,"(2, 8)",7.4,"(12.35)","(-12, 136)",-3,-1,1,2,4,8,12,28,66
"India","RV-D3",5,"(3, 11)",8.9,"(11.61)","(-16, 132)",-3,0,2,3,5,11,16,30,58
"Indonesia","BCG",5,"(4, 8)",6.5,"(6.8)","(-2, 112)",-1,1,3,4,5,8,9,13,33
"Indonesia","DTP-D1",3,"(0, 5)",3.6,"(7.58)","(-11, 108)",-6,-2,-1,0,3,5,8,13,35.3
"Indonesia","DTP-D2",4,"(1, 8)",5.6,"(8.71)","(-11, 109)",-5,-1,0,1,4,8,10,18,52
"Indonesia","DTP-D3",5,"(2, 10)",7.8,"(10.04)","(-10, 110)",-4,-1,1,2,5,10,14,23,54
"Indonesia","OPV-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","OPV-D1",8,"(5, 11)",9.5,"(7.8)","(-5, 113)",0,3,5,5,8,11,13,20.4,39.2
"Indonesia","OPV-D2",8,"(5, 13)",10.7,"(9.53)","(-4, 113)",1,3,4,5,8,13,16,25,57.3
"Indonesia","OPV-D3",10,"(7, 16)",13.2,"(11.3)","(-4, 118)",2,4,5,7,10,16,21,31,61
"Indonesia","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","MCV-D1",3,"(0, 6)",5.1,"(11.54)","(-41, 105)",-18,-2,0,0,3,6,9,21,56.7
"Indonesia","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","HepB-BD",1,"(-1, 2)",1.4,"(6)","(-2, 108)",-2,-2,-1,-1,1,2,2,7,22
"Indonesia","HepB-D1",3,"(0, 5)",3.6,"(7.58)","(-11, 108)",-6,-2,-1,0,3,5,8,13,35.3
"Indonesia","HepB-D2",4,"(1, 8)",5.6,"(8.71)","(-11, 109)",-5,-1,0,1,4,8,10,18,52
"Indonesia","HepB-D3",5,"(2, 10)",7.8,"(10.04)","(-10, 110)",-4,-1,1,2,5,10,14,23,54
"Indonesia","Hib-D1",3,"(0, 5)",3.6,"(7.58)","(-11, 108)",-6,-2,-1,0,3,5,8,13,35.3
"Indonesia","Hib-D2",4,"(1, 8)",5.6,"(8.71)","(-11, 109)",-5,-1,0,1,4,8,10,18,52
"Indonesia","Hib-D3",5,"(2, 10)",7.8,"(10.04)","(-10, 110)",-4,-1,1,2,5,10,14,23,54
"Indonesia","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","RV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","RV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan","BCG",4,"(2, 5)",5.1,"(7.75)","(-2, 112)",-1,0,1,2,4,5,7,12,54
"Jordan","DTP-D1",-2,"(-4, 0)",-0.7,"(8.64)","(-14, 99)",-8,-6,-5,-4,-2,0,1,6,49
"Jordan","DTP-D2",-1,"(-3, 2)",1.1,"(9.39)","(-11, 100)",-6,-5,-4,-3,-1,2,4,12,52
"Jordan","DTP-D3",-1,"(-3, 3)",2.1,"(9.8)","(-22, 121)",-7,-5,-4,-3,-1,3,7,17.8,50
"Jordan","OPV-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan","OPV-D1",-1,"(-3, 1)",0.6,"(9.23)","(-17, 100)",-9,-6,-4,-3,-1,1,3,11,50
"Jordan","OPV-D2",0,"(-2, 4)",2,"(9.97)","(-20, 122)",-8.4,-6,-4,-2,0,4,6,18,50
"Jordan","OPV-D3",2,"(0, 5)",3.2,"(11.61)","(-26, 86)",-21,-16,-2,0,2,5,8,18,54
"Jordan","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan","MCV-D1",15,"(13, 18)",17.7,"(10.43)","(-39, 102)",0,10.8,12,13,15,18,22,38,68
"Jordan","MCV-D2",3,"(1, 7)",4.4,"(12.61)","(-68, 79)",-29.9,-15,-1,1,3,7,11,23,55
"Jordan","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan","HepB-D1",-2,"(-4, 0)",-0.7,"(8.48)","(-14, 99)",-8,-6,-5,-4,-2,0,1,6,49
"Jordan","HepB-D2",-1,"(-3, 2)",1.1,"(9.35)","(-11, 100)",-6,-5,-4,-3,-1,2,4,12,51
"Jordan","HepB-D3",0,"(-2, 4)",2.6,"(9.9)","(-22, 122)",-6,-4,-4,-2,0,4,8,18,50
"Jordan","Hib-D1",-2,"(-4, 0)",-0.7,"(8.64)","(-14, 99)",-8,-6,-5,-4,-2,0,1,6,49
"Jordan","Hib-D2",-1,"(-3, 2)",1.1,"(9.39)","(-11, 100)",-6,-5,-4,-3,-1,2,4,12,52
"Jordan","Hib-D3",0,"(-2, 4)",2.6,"(9.82)","(-22, 122)",-6,-4,-4,-2,0,4,8,18,50
"Jordan","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan","RV-D1",-2,"(-4, 0)",-0.7,"(8.48)","(-14, 99)",-8,-6,-5,-4,-2,0,1,6,49
"Jordan","RV-D2",-1,"(-3, 2)",0.9,"(8.95)","(-12, 100)",-6,-5,-4,-3,-1,2,4,11,50.2
"Jordan","RV-D3",0,"(-2, 4)",2.4,"(9.72)","(-22, 122)",-6,-4,-4,-2,0,4,6,18,50
"Kenya","BCG",1,"(0, 2)",2.3,"(6.85)","(-2, 110)",-2,-2,-1,0,1,2,4,8,28
"Kenya","DTP-D1",1,"(-1, 2)",1.3,"(4.7)","(-8, 71)",-4,-2,-1,-1,1,2,3,6,18
"Kenya","DTP-D2",1,"(0, 3)",2.2,"(5.79)","(-8, 105)",-3,-2,-1,0,1,3,4,9,29
"Kenya","DTP-D3",2,"(0, 3)",3.3,"(7.5)","(-8, 108)",-2,-1,-1,0,2,3,5,13,41
"Kenya","OPV-BD",1,"(0, 2)",1.2,"(3.86)","(-2, 60)",-2,-2,-1,0,1,2,2,4,11
"Kenya","OPV-D1",1,"(-1, 2)",1.3,"(4.69)","(-8, 107)",-5,-2,-1,-1,1,2,3,6,17
"Kenya","OPV-D2",1,"(0, 3)",2.4,"(6.66)","(-8, 108)",-4,-2,-1,0,1,3,4,9,32.6
"Kenya","OPV-D3",2,"(0, 3)",3.3,"(7.45)","(-9, 108)",-3,-1,-1,0,2,3,5,14,41
"Kenya","IPV-D1",2,"(0, 3)",3.4,"(8.08)","(-13, 122)",-5,-1,-1,0,2,3,5,14,43.3
"Kenya","MCV-D1",2,"(0, 4)",3.2,"(8.91)","(-41, 75)",-23,-4,-1,0,2,4,7,17,44
"Kenya","MCV-D2",3,"(1, 6)",2.1,"(13.64)","(-66, 70)",-43,-34,0,1,3,6,9,18,45.5
"Kenya","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenya","HepB-D1",1,"(-1, 2)",1.3,"(4.7)","(-8, 71)",-4,-2,-1,-1,1,2,3,6,18
"Kenya","HepB-D2",1,"(0, 3)",2.2,"(5.79)","(-8, 105)",-3,-2,-1,0,1,3,4,9,29
"Kenya","HepB-D3",2,"(0, 3)",3.3,"(7.5)","(-8, 108)",-2,-1,-1,0,2,3,5,13,41
"Kenya","Hib-D1",1,"(-1, 2)",1.3,"(4.7)","(-8, 71)",-4,-2,-1,-1,1,2,3,6,18
"Kenya","Hib-D2",1,"(0, 3)",2.2,"(5.79)","(-8, 105)",-3,-2,-1,0,1,3,4,9,29
"Kenya","Hib-D3",2,"(0, 3)",3.3,"(7.5)","(-8, 108)",-2,-1,-1,0,2,3,5,13,41
"Kenya","PCV-D1",1,"(-1, 2)",1.3,"(5.06)","(-8, 109)",-4,-2,-1,-1,1,2,3,6,18
"Kenya","PCV-D2",1,"(0, 3)",2.2,"(5.99)","(-8, 107)",-3,-2,-1,0,1,3,4,9,29
"Kenya","PCV-D3",2,"(0, 3)",3.3,"(7.74)","(-9, 107)",-2,-1,-1,0,2,3,5,13,42.4
"Kenya","RV-D1",1,"(-1, 2)",1.4,"(5.19)","(-8, 107)",-3.4,-2,-1,-1,1,2,3,6,21.4
"Kenya","RV-D2",1,"(0, 3)",2.4,"(6.51)","(-8, 107)",-3,-2,-1,0,1,3,4,10,33.1
"Kenya","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","BCG",1,"(-1, 2)",1.4,"(7.52)","(-2, 159)",-2,-2,-1,-1,1,2,2,4,21.6
"Kyrgyz Republic","DTP-D1",1,"(-1, 2)",1.5,"(9.26)","(-11, 113)",-10,-8,-2,-1,1,2,3.4,10,30.3
"Kyrgyz Republic","DTP-D2",4,"(2, 6)",5.7,"(9.17)","(-6, 170)",-4,0,1,2,4,6,9,15,40.4
"Kyrgyz Republic","DTP-D3",3,"(1, 6)",6.1,"(11.39)","(-6, 131)",-4,-2,0,1,3,6,10,22,54
"Kyrgyz Republic","OPV-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","OPV-D1",1,"(0, 4)",3.2,"(9.51)","(-10, 158)",-4,-2,-1,0,1,4,6,14,51.5
"Kyrgyz Republic","OPV-D2",5,"(3, 9)",7.9,"(10.63)","(-8, 163)",-1,1,2,3,5,9,13,23,56
"Kyrgyz Republic","OPV-D3",4,"(2, 10)",9.3,"(15.53)","(-8, 162)",-4,0,0,2,4,10,18,34,78
"Kyrgyz Republic","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","MCV-D1",2,"(0, 5)",3.9,"(13.57)","(-54, 178)",-49,-3,0,0,2,5,9,18,55
"Kyrgyz Republic","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","HepB-D1",-9,"(-10, -8)",-7.1,"(10.95)","(-11, 149)",-11,-11,-10,-10,-9,-8,-7,-3,44
"Kyrgyz Republic","HepB-D2",1,"(0, 3)",3.7,"(10.97)","(-9, 178)",-2.5,-2,-1,0,1,3,6,17,52.5
"Kyrgyz Republic","HepB-D3",12,"(9, 15)",15.2,"(14.51)","(-7, 148)",1,4,8,9,12,15,19,33.9,82.4
"Kyrgyz Republic","Hib-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","Hib-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","Hib-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","RV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","RV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","BCG",2,"(0, 5)",3.9,"(8.94)","(-2, 156)",-2,-1,-1,0,2,5,8,15,51
"Lesotho","DTP-D1",1,"(0, 3)",2.7,"(6.7)","(-8, 81)",-4,-2,-1,0,1,3,5,11,32.2
"Lesotho","DTP-D2",3,"(1, 5)",4.3,"(7.19)","(-7, 72)",-2.7,-1,0,1,3,5,7,16,34.7
"Lesotho","DTP-D3",4,"(2, 7)",7.6,"(12.63)","(-9, 213)",-2,0,1,2,4,7,13,27.1,56
"Lesotho","OPV-BD",1,"(0, 2)",2.9,"(9.47)","(-2, 156)",-2,-2,-1,0,1,2,5,12,52
"Lesotho","OPV-D1",2,"(0, 3)",2.8,"(6.69)","(-7, 81)",-3,-1,-1,0,2,3,5,10.6,29.9
"Lesotho","OPV-D2",3,"(1, 5)",4.5,"(7.56)","(-7, 74)",-2,-1,0,1,3,5,7,16,41
"Lesotho","OPV-D3",4,"(2, 8)",8,"(13.35)","(-9, 155)",-2,0,1,2,4,8,13,30.5,65.5
"Lesotho","IPV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","MCV-D1",4,"(1, 9)",9.9,"(20.3)","(-40, 158)",-20.4,-2,0,1,4,9,18.6,49,95.5
"Lesotho","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","HepB-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","HepB-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","HepB-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","Hib-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","Hib-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","Hib-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","PCV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","PCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","PCV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","RV-D1",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","RV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liberia","BCG",1,"(0, 3)",3.4,"(8.73)","(-2, 107)",-2,-1,-1,0,1,3,5,13,51
"Liberia","DTP-D1",2,"(0, 4)",3.2,"(7.23)","(-7, 82)",-4,-2,-1,0,2,4,6,14,35
"Liberia","DTP-D2",3,"(1, 7)",5.8,"(9.08)","(-8, 71)",-3,-1,0,1,3,7,10.3,23.1,48.6
"Liberia","DTP-D3",5,"(2, 10.75)",8.6,"(11.47)","(-3, 79)",-2,0,1,2,5,10.8,16,31,58.4
"Liberia","OPV-BD",1,"(0, 2)",1.5,"(5.19)","(-2, 88)",-2,-2,-1,0,1,2,3,6,22.2
"Liberia","OPV-D1",2,"(0, 4)",3.2,"(7.22)","(-8, 82)",-5,-2,-1,0,2,4,6,14,34
"Liberia","OPV-D2",3,"(1, 7)",5.8,"(9.23)","(-8, 71)",-3,-1,0,1,3,7,10.9,22.9,51.2
"Liberia","OPV-D3",5,"(2, 10)",8.5,"(11.58)","(-4, 107)",-2,0,1,2,5,10,16,30,57
"Liberia","IPV-D1",6,"(2, 18)",11.9,"(14.93)","(-15, 119)",-2,0,1,2,6,18,26,39,71.3
"Liberia","MCV-D1",2,"(0, 6)",4.9,"(12.49)","(-25, 91)",-18.7,-4,-1,0,2,6,10.5,27.9,58
"Liberia","MCV-D2",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liberia","HepB-BD",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liberia","HepB-D1",2,"(0, 4)",3.2,"(7.23)","(-7, 82)",-4,-2,-1,0,2,4,6,14,35
"Liberia","HepB-D2",3,"(1, 7)",5.8,"(9.08)","(-8, 71)",-3,-1,0,1,3,7,10.3,23.1,48.6
"Liberia","HepB-D3",5,"(2, 10.75)",8.6,"(11.47)","(-3, 79)",-2,0,1,2,5,10.8,16,31,58.4
"Liberia","Hib-D1",2,"(0, 4)",3.2,"(7.23)","(-7, 82)",-4,-2,-1,0,2,4,6,14,35
"Liberia","Hib-D2",3,"(1, 7)",5.8,"(9.08)","(-8, 71)",-3,-1,0,1,3,7,10.3,23.1,48.6
"Liberia","Hib-D3",5,"(2, 10.75)",8.6,"(11.47)","(-3, 79)",-2,0,1,2,5,10.8,16,31,58.4
"Liberia","PCV-D1",2,"(0, 4)",3.1,"(6.8)","(-7, 57)",-4,-2,-1,0,2,4,6,13.5,33.1
"Liberia","PCV-D2",3,"(1, 7)",5.8,"(9.12)","(-8, 71)",-3,-1,0,1,3,7,11,23.5,48.7
"Liberia","PCV-D3",5,"(2, 10)",8.6,"(11.51)","(-3, 79)",-2,0,1,2,5,10,16,31,57
"Liberia","RV-D1",2,"(0, 4)",3.2,"(7.28)","(-8, 82)",-4.1,-2,-1,0,2,4,6,14,35.4
"Liberia","RV-D2",3,"(1, 7)",5.8,"(8.97)","(-8, 71)",-3,-1,0,1,3,7,11,22,48.8
"Liberia","RV-D3",NA,"(NA, NA)",NA,"(NA)","(NA, NA)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","BCG",3,"(1, 6)",5.1,"(8.01)","(-2, 98)",-2,-1,0,1,3,6,9,17,44.6
"Madagascar","DTP-D1",2,"(0, 4)",3.5,"(8.43)","(-7, 121)",-4,-2,-1,0,2,4,6,16,50.8
"Madagascar","DTP-D2",3,"(1, 5)",4.8,"(9.55)","(-9, 140)",-4,-2,0,1,3,5,8,19,51.4
"Madagascar","DTP-D3",3,"(1, 7)",6,"(9.93)","(-9, 113)",-3,-1,0,1,3,7,10,22,53
"Madagascar","OPV-BD",2,"(1, 5)",4.2,"(7.25)","(-2, 98)",-2,-1,0,1,2,5,7,13,39.5
"Madagascar","OPV-D1",2,"(0, 4)",3.5,"(8.43)","(-7, 121)",-4,-2,-1,0,2,4,6,16,51
"Madagascar","OPV-D2",3,"(1, 5)",4.8,"(9.54)","(-9, 140)",-4,-2,0,1,3,5,8,19,51.5
"Madagascar","OPV-D3",3,"(1, 7)",6,"(9.83)","(-9, 113)",-3,-1,0,1,3,7,10,22,52.3
